sexo,idade,faixa_etaria,cor_raca,escolaridade,horas_trabalho_por_semana,portador_de_deficiencia,tamanho_da_empresa,tempo_no_emprego,remuneracao,id
2,37,5,99,9,40,0,8,22.4,14121.89,2060589
2,51,7,99,7,30,0,10,297.9,9774.39,815127
2,52,7,99,7,30,0,10,269.5,2051.56,1780938
2,41,6,99,4,40,0,10,166.1,1391.83,758166
2,56,7,99,7,20,0,10,261.9,6175.57,1843854
2,36,5,2,7,4,0,2,83.9,1609.67,239308
1,59,7,99,7,20,0,10,248.9,4423.34,1429077
1,68,8,8,7,44,0,5,251.9,9074.66,536529
2,20,3,8,7,44,0,4,11.4,1235.18,864310
1,43,6,99,7,40,0,10,107.9,1474.56,59348
1,21,3,8,7,44,0,2,2.0,1139.39,1325894
2,37,5,99,9,30,0,10,87.2,3860.46,1060382
2,27,4,9,7,44,0,2,14.9,1655.22,1841331
1,39,5,8,7,44,0,4,113.9,1469.71,65951
2,30,5,8,7,40,0,7,8.7,1258.89,228795
2,29,4,8,7,44,0,10,0.9,1350.92,211835
1,56,7,8,7,44,0,5,134.9,1522.39,1531983
1,23,3,8,7,44,0,5,17.8,1763.59,1409010
1,50,7,99,9,40,0,7,317.3,7296.58,2339719
2,42,6,99,9,40,0,10,79.8,4316.02,1980451
2,41,6,99,9,30,0,10,44.9,6947.96,2202469
1,34,5,8,4,44,0,3,28.9,1072.07,1135598
1,45,6,99,7,30,0,10,186.9,5352.82,1312393
1,21,3,8,7,44,0,5,12.9,973.17,1015736
1,60,7,99,9,36,0,10,22.9,3916.81,1664341
1,48,6,99,9,40,0,8,188.5,8959.91,2345450
2,25,4,8,7,44,0,4,18.6,1407.15,893254
2,23,3,2,9,36,0,7,11.0,1680.48,2068919
1,21,3,99,7,36,0,10,27.9,1118.12,555120
1,46,6,9,7,0,0,9,34.5,3305.63,1558783
2,44,6,6,4,44,0,8,20.6,1306.42,760263
1,23,3,8,7,36,0,5,9.9,1362.74,2277023
1,38,5,8,9,40,0,7,1.2,1658.01,1025996
2,33,5,99,7,40,0,10,89.2,1612.26,1037592
1,34,5,8,7,44,0,5,7.1,4405.61,2273238
2,32,5,8,7,44,0,7,53.8,1272.8,255841
2,48,6,99,9,30,0,10,145.1,3474.97,2030564
1,47,6,9,7,44,0,4,9.9,1272.4,111909
1,34,5,2,7,30,0,5,103.7,3632.82,1381830
1,21,3,9,7,44,0,3,4.9,1390.83,679983
1,65,8,99,3,40,0,10,211.0,4059.89,9681
2,23,3,9,7,44,0,4,21.3,1351.2,251289
2,49,6,99,7,40,0,9,153.6,2152.27,390668
2,54,7,9,9,25,0,7,272.4,2941.6,426165
2,48,6,99,7,30,0,10,294.9,1496.9,1786487
1,38,5,8,7,44,0,4,1.4,885.91,1451991
1,56,7,99,9,30,0,10,202.6,2418.33,719638
1,34,5,99,11,25,0,10,102.3,2939.08,1030578
1,67,8,99,2,36,0,10,11.9,1798.48,1095272
1,59,7,9,7,44,0,7,11.2,560.23,97817
1,24,3,8,7,44,0,4,37.9,1276.29,1467470
1,26,4,8,6,44,0,2,37.9,1397.36,1227151
2,23,3,8,4,30,0,2,5.2,1095.18,178856
1,72,8,99,5,40,0,10,287.9,1775.2,1193603
2,22,3,8,5,44,0,10,2.7,1531.72,1733806
1,52,7,4,7,44,0,3,18.9,1068.0,1499262
2,18,3,8,8,44,0,4,7.5,1071.25,273755
1,25,4,8,7,44,0,5,4.5,1366.64,1339351
2,36,5,8,7,44,0,3,3.7,764.42,1844461
1,33,5,8,7,44,0,2,21.9,1043.97,88352
2,21,3,8,7,44,0,6,2.2,780.92,1850658
2,45,6,8,5,44,0,5,97.9,1492.6,1738293
1,33,5,2,7,44,0,8,6.4,1826.09,108987
2,50,7,99,6,40,0,10,311.9,2085.23,2360403
1,48,6,8,7,44,0,7,106.5,1702.59,2309608
1,32,5,9,7,44,0,3,65.9,1597.26,648896
1,22,3,9,7,44,0,4,3.9,1474.13,1458701
1,26,4,4,7,44,0,5,17.3,2096.08,56332
1,28,4,8,7,44,0,7,0.3,520.02,342500
2,44,6,4,7,44,0,9,23.3,1665.56,1927470
1,19,3,8,8,44,0,8,8.5,1005.82,2326121
1,36,5,8,6,44,0,9,153.6,1770.81,1250475
2,36,5,9,7,44,0,4,5.9,1546.25,1862447
1,55,7,8,4,44,0,9,376.3,3555.54,447608
1,39,5,99,5,36,0,10,172.9,1208.01,1161784
1,25,4,8,8,44,0,9,45.5,4541.62,694336
2,21,3,8,7,44,0,4,6.1,1458.48,205600
1,44,6,2,7,44,0,5,87.4,1751.97,1327873
1,21,3,8,7,36,1,6,42.1,2666.35,1414639
1,26,4,99,7,30,0,8,45.5,2298.07,1350601
1,36,5,4,2,44,0,4,0.7,1744.89,1100304
1,19,3,8,7,44,0,10,32.6,1239.47,1561242
1,52,7,99,9,40,0,10,20.9,17123.92,1023511
2,44,6,99,7,20,0,10,160.8,6789.15,1817516
1,33,5,99,9,44,0,9,58.9,7992.79,378716
1,46,6,99,7,40,0,10,181.0,2544.91,2280544
1,49,6,8,7,44,0,8,139.8,3243.41,673344
1,23,3,8,7,44,0,6,0.6,1213.04,1579573
2,31,5,8,7,44,0,5,39.9,1651.38,1755492
1,27,4,9,3,44,0,6,6.1,1058.19,1104045
1,20,3,9,7,44,0,7,22.6,1340.16,2313641
1,38,5,99,9,40,0,10,120.0,24548.64,2143277
1,43,6,2,10,37,0,8,148.8,22975.37,1691969
1,23,3,9,5,44,0,7,8.7,1506.99,31175
1,34,5,99,9,40,0,10,44.8,12784.57,1607321
1,49,6,2,6,22,0,10,128.7,1643.89,1235106
1,54,7,99,9,36,0,10,75.6,7217.12,1653654
1,52,7,8,7,44,0,2,17.9,1394.81,1353731
1,38,5,2,7,44,0,8,43.7,4609.66,1454294
1,35,5,8,9,40,0,10,35.8,3389.13,702482
1,43,6,8,7,44,0,9,166.7,1371.28,1005880
2,40,6,99,9,30,0,10,129.9,5007.49,306812
1,35,5,8,7,44,0,3,25.9,1370.89,1329607
1,49,6,99,2,30,0,7,120.5,1664.96,1083434
1,58,7,99,5,30,0,10,266.8,1683.62,466180
1,32,5,8,4,44,0,3,30.9,1354.81,1135747
1,64,7,8,7,13,0,3,33.5,624.29,60168
2,20,3,8,7,24,0,6,9.7,975.71,1799935
1,62,7,99,7,32,0,9,154.9,1386.3,1320430
1,31,5,9,7,44,0,2,2.9,1499.71,1337605
2,50,7,99,7,40,0,10,172.9,4713.51,1817114
2,39,5,99,9,30,0,10,9.6,5385.98,930678
2,38,5,99,7,40,0,10,33.6,1072.13,242080
1,31,5,8,9,44,0,7,19.7,2787.33,1029375
2,50,7,99,9,30,0,10,270.2,8849.41,2200348
1,44,6,9,7,44,0,3,9.2,2931.33,137302
2,38,5,8,9,44,0,10,2.3,1159.98,970981
1,35,5,8,7,44,0,3,31.9,1801.66,68377
2,47,6,8,5,44,0,6,31.7,1492.64,1732911
1,19,3,8,7,44,0,2,5.8,1010.15,1425644
1,32,5,9,7,44,0,2,6.4,1045.11,67188
1,41,6,99,9,28,0,10,104.9,4047.32,1642201
1,28,4,8,7,36,0,4,2.0,1050.22,1007396
2,42,6,99,9,40,0,10,92.8,5338.07,2198140
2,35,5,99,5,44,0,10,34.2,1048.84,1716269
1,40,6,8,9,40,0,6,68.9,12415.15,1676854
1,46,6,8,7,44,0,8,111.4,2367.29,1537926
1,46,6,2,7,44,0,10,2.3,1552.43,676345
1,40,6,99,9,40,0,10,71.8,2685.67,1023560
1,35,5,8,3,44,0,3,9.4,1124.3,7495
1,37,5,9,9,40,0,10,10.9,3230.25,2342161
1,53,7,99,9,40,0,10,415.5,17693.13,155571
2,50,7,99,9,40,0,10,217.1,27961.12,2449545
1,26,4,8,7,44,0,9,12.6,1391.41,1491030
2,49,6,99,9,30,0,10,319.0,7424.84,425417
2,36,5,6,9,44,0,9,10.9,1985.03,2088896
1,31,5,8,7,44,0,5,3.8,1744.63,1387974
1,65,8,2,3,44,0,6,24.9,1434.59,1104099
1,33,5,2,7,44,0,2,3.9,1361.56,607538
2,45,6,99,7,40,0,10,250.5,8042.49,2388464
2,51,7,99,7,25,0,10,185.5,2226.58,245066
1,47,6,8,7,44,0,8,129.8,2565.97,1340650
2,36,5,2,7,44,0,2,16.3,1511.72,210055
2,50,7,99,9,20,0,10,206.7,5891.15,2022035
2,41,6,2,9,44,0,9,112.9,11571.64,1989216
2,48,6,8,7,38,0,10,4.3,1190.05,781028
1,33,5,8,2,44,0,2,5.8,1509.07,1089224
1,49,6,8,5,44,0,4,211.9,2337.27,29415
2,26,4,99,7,40,0,10,64.8,3167.15,1843093
1,33,5,8,7,44,0,7,23.5,1646.99,120425
2,44,6,2,7,44,0,2,4.8,1036.92,238495
2,32,5,99,9,40,0,10,34.0,13102.97,2049817
1,63,7,2,7,0,0,5,507.3,17094.52,2110239
1,22,3,8,6,44,0,5,36.9,1139.54,1233353
1,33,5,99,7,40,0,10,3.7,3054.28,638763
2,49,6,99,9,30,0,8,177.0,31827.95,2018851
2,24,3,99,7,40,0,10,47.6,2644.82,1849723
2,68,8,99,7,30,0,10,440.2,1579.65,1813826
1,40,6,4,7,44,0,3,1.9,1466.38,2278407
1,43,6,8,7,44,0,7,105.9,2283.85,2308496
1,49,6,99,4,44,0,9,192.0,2752.91,1121478
1,39,5,2,9,44,0,10,65.8,6075.16,1686280
1,28,4,8,7,44,0,4,70.9,2277.2,1359654
1,23,3,99,8,40,0,6,23.7,3019.34,690989
2,49,6,99,9,24,0,10,52.9,1377.31,2059921
1,57,7,99,8,30,0,10,414.5,5324.3,1598011
2,28,4,99,7,40,0,8,82.9,1553.87,1894367
2,59,7,99,8,30,0,7,140.9,2688.25,2417305
1,42,6,9,9,44,0,4,82.9,1448.37,165142
1,39,5,99,9,30,0,10,139.3,3758.9,1642332
2,44,6,99,9,44,0,9,128.7,4423.09,1061175
1,19,3,8,4,44,0,10,0.4,532.41,12176
2,37,5,99,9,40,0,10,126.5,4883.82,2446369
1,29,4,2,9,44,0,7,53.4,7466.08,745201
2,28,4,8,7,44,0,6,37.3,1859.4,2415692
1,39,5,99,9,25,0,10,177.9,6987.29,1623839
1,63,7,99,9,40,0,10,215.9,7895.87,1020760
1,40,6,2,6,44,0,7,113.9,1345.52,1261452
2,47,6,99,9,30,0,10,24.1,2747.85,928464
1,41,6,8,3,44,0,4,4.8,1586.15,8968
1,38,5,8,7,40,0,8,196.4,4323.29,610271
1,56,7,99,4,36,0,8,131.9,1605.08,1121089
2,59,7,99,9,20,0,10,212.1,7588.52,2010087
2,43,6,2,7,44,0,3,2.9,1453.45,1883664
2,30,5,8,7,44,0,7,40.9,1108.11,887378
1,22,3,8,8,44,0,5,6.8,1566.63,1602863
2,41,6,99,9,40,0,7,221.1,2409.72,434269
2,51,7,99,9,40,0,9,274.9,5966.71,293236
1,45,6,8,3,44,0,3,28.9,1062.31,320859
1,43,6,99,7,36,0,10,28.9,1991.88,1006735
2,19,3,8,7,44,0,2,1.1,1503.43,194796
1,27,4,8,7,44,0,3,82.9,921.59,1427987
2,39,5,2,7,44,0,3,35.9,1524.9,1796727
2,35,5,99,7,30,0,10,150.8,3669.76,1820234
2,33,5,8,6,44,0,5,27.9,1024.89,189633
2,34,5,8,6,44,0,2,53.9,1665.54,1751410
1,39,5,99,9,30,0,10,190.2,2639.57,719094
1,25,4,9,7,44,0,4,10.9,1139.61,78231
1,58,7,2,7,44,0,6,7.6,716.55,1338997
2,56,7,99,5,44,0,9,429.4,1642.47,1716882
2,33,5,2,7,44,0,6,91.6,3430.05,1932570
1,27,4,8,7,44,0,10,7.6,2211.19,1301742
2,77,8,99,9,30,0,7,390.5,9707.82,1977719
2,33,5,8,8,44,0,2,16.8,1147.23,905324
2,42,6,8,8,44,0,7,21.6,1483.72,2419511
2,23,3,8,7,44,0,8,2.8,1123.68,1763791
2,29,4,99,9,40,0,10,21.5,1797.18,2193777
2,51,7,99,7,40,0,9,259.6,1620.61,209452
1,23,3,8,7,44,0,10,17.5,2176.9,1490059
2,41,6,99,7,20,0,10,77.1,3586.89,1781795
2,34,5,8,9,36,0,6,64.2,3597.41,434178
1,20,3,8,7,20,0,8,0.8,436.91,562854
1,47,6,9,7,44,0,5,2.3,1263.75,1364224
2,58,7,99,11,30,0,10,189.6,5670.81,982489
2,28,4,8,7,44,0,10,11.8,1012.12,1871354
2,34,5,99,9,40,0,10,94.8,4397.25,1998612
2,42,6,99,7,40,0,10,261.6,2321.52,216054
1,40,6,8,7,44,0,4,120.7,1898.85,2309763
1,36,5,8,7,44,0,5,15.8,2335.04,1431425
1,39,5,8,7,42,0,9,5.2,1391.7,1484740
2,26,4,99,7,40,0,10,20.4,2658.2,1042486
2,21,3,8,5,44,0,6,1.6,1257.0,1739253
1,52,7,2,5,44,0,8,32.6,1339.68,1215583
1,33,5,8,7,44,0,8,3.2,1615.38,1553178
1,34,5,9,7,44,0,4,4.8,1247.63,135101
1,45,6,99,9,28,0,8,138.9,4757.57,1645981
1,42,6,99,10,40,0,9,38.1,7745.0,1689971
1,37,5,9,7,44,0,4,4.9,1225.89,1510370
1,34,5,2,9,44,0,9,69.9,15158.31,745395
1,40,6,8,7,44,0,7,265.4,7374.81,1556125
2,53,7,99,9,30,0,7,415.7,3707.22,964412
1,37,5,99,9,40,0,8,93.6,11285.2,2155075
2,40,6,8,7,44,0,6,45.2,1774.32,875454
2,37,5,8,7,44,0,9,66.5,1530.75,1917437
2,28,4,8,7,44,0,5,71.7,4116.12,1933793
1,53,7,99,7,40,0,7,178.9,1657.85,1384169
2,42,6,9,7,42,0,4,98.4,1498.67,2378161
1,42,6,9,7,44,0,5,24.7,1327.33,1371875
2,42,6,99,9,40,0,10,32.9,8944.42,2205057
1,39,5,9,9,36,0,10,3.1,3476.57,1671747
2,33,5,8,7,44,0,2,18.3,1216.58,402734
1,67,8,2,1,44,0,4,54.9,1101.72,1078960
1,21,3,4,7,44,0,6,23.7,1207.73,2315197
1,20,3,4,7,44,0,8,14.0,1301.1,2295307
2,39,5,8,7,44,0,10,152.6,1424.22,833282
1,45,6,99,7,44,0,10,35.9,1582.99,540595
2,45,6,99,9,40,0,10,212.0,35532.2,291593
1,45,6,8,5,40,0,10,29.6,1044.22,1160896
2,56,7,2,7,30,0,9,188.8,2435.35,1778964
2,30,5,9,9,40,0,10,11.2,2889.55,2442714
1,39,5,99,9,20,0,9,119.0,2525.43,735979
2,25,4,8,7,44,0,8,34.8,1746.61,895192
1,25,4,4,7,44,0,3,22.5,869.06,103254
2,25,4,9,7,44,0,3,5.9,1044.27,783445
2,52,7,8,7,44,0,3,37.9,1008.31,1826525
1,59,7,99,4,40,0,10,62.7,1206.8,1129764
1,37,5,99,7,44,0,7,149.9,2567.34,1311794
2,34,5,8,7,44,0,8,111.9,1729.91,1809878
2,31,5,8,7,36,0,4,41.9,2099.35,1948796
1,26,4,8,6,44,0,8,59.8,1622.59,1232144
2,19,3,8,7,44,0,9,1.9,1302.16,897069
1,54,7,99,9,30,0,10,425.9,4479.21,371182
1,45,6,9,7,44,0,7,134.6,3891.57,137557
2,37,5,8,7,44,0,2,11.9,1256.68,1851833
1,38,5,9,7,44,0,8,47.2,2315.52,1501342
1,45,6,99,9,40,0,10,185.8,23483.96,1646302
1,38,5,2,7,44,0,5,98.9,1014.4,597552
2,31,5,9,7,44,0,3,9.9,1180.85,244838
1,44,6,2,7,1,0,4,86.1,1577.11,1414721
1,36,5,99,6,40,0,7,203.4,8516.67,481275
2,56,7,99,9,20,0,9,177.0,2423.96,916192
2,40,6,8,7,44,0,9,59.6,1608.04,1810416
2,18,3,8,7,44,0,5,2.2,901.82,842881
1,45,6,8,9,44,0,5,67.8,6762.15,746931
1,32,5,2,6,44,0,4,44.8,1795.66,1249176
2,36,5,8,7,44,0,9,66.9,1596.82,865389
2,31,5,99,9,40,0,10,37.7,2403.02,296857
1,47,6,8,7,44,0,5,6.2,887.4,1381951
1,59,7,99,7,40,0,10,190.5,3007.42,80638
2,39,5,99,11,40,0,8,109.2,16698.81,2096300
2,51,7,99,7,40,0,10,137.1,2050.51,216732
1,50,7,2,7,44,0,5,20.0,2613.21,1517424
1,45,6,99,7,40,0,9,197.5,2936.52,1411834
1,69,8,99,7,44,0,10,272.4,5809.88,1423820
2,49,6,99,9,30,0,10,70.6,2649.65,421883
2,27,4,2,8,44,0,5,12.7,1475.62,2420201
2,23,3,8,9,44,0,5,12.4,2597.0,970269
2,36,5,99,4,44,0,8,135.2,1513.48,2157956
2,34,5,8,9,44,0,5,29.9,1992.49,919987
2,29,4,8,7,44,1,6,1.7,993.24,840115
2,31,5,99,7,40,0,10,10.5,1016.29,831629
2,34,5,8,9,44,0,5,2.5,2032.84,965321
1,38,5,8,7,44,0,7,3.9,1890.61,2315943
1,55,7,8,7,44,0,10,0.9,2058.38,683847
1,42,6,8,7,44,0,4,2.8,1818.1,623903
1,45,6,2,7,36,0,3,318.9,1850.31,1507668
1,54,7,9,7,44,0,8,79.7,1804.04,128717
2,54,7,99,7,40,0,10,374.3,1384.86,233652
1,36,5,4,7,38,0,10,120.9,3876.69,1512220
1,44,6,99,7,44,0,9,31.4,1176.67,1410751
1,57,7,8,7,30,0,9,197.9,1936.91,562506
2,37,5,99,7,36,0,9,217.9,1863.96,1855425
1,41,6,9,7,20,0,4,11.1,576.05,2265853
2,33,5,8,9,30,0,4,136.4,5140.49,292214
2,26,4,8,7,44,0,3,13.7,1502.02,802425
1,39,5,8,7,44,0,3,1.9,1603.77,2264027
1,25,4,8,7,44,0,4,1.4,851.81,352523
2,40,6,8,7,44,0,5,202.1,3150.62,268082
2,41,6,99,7,44,0,8,165.9,3506.62,2164359
2,43,6,99,9,30,0,10,72.6,6420.61,919350
2,50,7,99,9,40,0,6,246.1,5133.54,292333
2,27,4,8,9,44,0,4,27.6,1499.06,968709
1,33,5,8,7,44,0,7,48.7,2043.68,1266285
1,31,5,8,7,44,0,5,13.7,1985.21,2304708
2,58,7,99,7,30,0,10,237.9,1911.31,807908
1,45,6,8,7,44,0,4,42.6,2246.4,2114016
2,33,5,8,9,18,0,5,38.8,1158.65,2066924
1,23,3,4,7,44,0,6,10.9,1276.65,1535778
2,40,6,8,7,36,0,10,55.9,1401.28,896963
1,24,3,99,7,40,0,10,21.9,1258.37,80544
1,19,3,8,7,44,0,10,0.7,1211.02,502670
2,26,4,8,8,44,0,7,4.2,2150.47,2416969
1,48,6,2,7,39,0,9,29.2,3699.75,2123690
1,36,5,8,7,44,1,10,82.6,2003.09,517150
1,49,6,8,7,44,0,6,6.7,8815.25,1508660
1,55,7,99,9,25,0,10,21.3,2162.71,371110
2,40,6,99,9,25,0,10,20.9,2588.1,424859
2,22,3,8,7,36,0,4,2.9,1146.61,1862533
1,40,6,99,9,20,0,10,175.7,7268.46,1641168
2,26,4,8,7,44,0,5,31.9,1152.35,1902055
1,36,5,8,7,42,0,10,170.9,4006.14,638541
1,33,5,8,7,44,0,10,44.9,2177.84,667661
1,34,5,99,7,44,0,9,57.7,1316.17,344270
2,48,6,9,7,44,0,4,13.9,1067.97,1054762
2,37,5,8,7,44,0,3,2.9,1194.58,885192
2,44,6,8,7,44,0,5,4.9,1322.11,1842614
2,54,7,99,7,40,0,10,155.6,2397.73,219205
1,30,5,8,7,44,0,9,35.4,2072.86,1502596
2,53,7,99,11,40,0,10,133.2,13309.89,981419
1,54,7,99,9,44,0,8,270.5,3955.32,718230
1,29,4,8,7,44,0,6,12.4,1707.34,1425436
1,52,7,8,7,44,0,5,62.5,1587.95,568562
1,34,5,8,6,44,0,6,0.3,608.72,1241153
2,39,5,99,9,40,0,10,118.0,7567.17,423142
1,35,5,99,9,44,0,10,47.1,10027.52,2137148
1,35,5,8,7,36,0,7,0.7,894.02,570217
1,20,3,8,5,44,0,10,1.8,939.75,1188076
1,23,3,8,6,41,0,9,10.3,1090.03,1232869
1,46,6,99,9,40,0,10,306.7,7763.02,2149212
2,45,6,99,5,40,0,10,199.9,1086.7,1033781
1,38,5,8,7,44,0,7,47.4,1535.16,1479791
1,50,7,8,2,44,0,5,39.9,1213.83,1093219
1,30,5,8,5,36,0,3,3.5,1136.76,2099646
2,47,6,9,4,44,0,4,1.9,1087.3,757488
1,30,5,99,7,40,0,10,96.0,1733.75,1374138
2,19,3,4,7,44,0,4,11.9,1142.48,1049498
1,48,6,8,7,44,0,8,189.4,2878.9,511821
1,29,4,2,7,44,0,4,2.1,1059.55,90783
1,58,7,99,4,36,0,8,138.9,1782.24,1121967
2,28,4,9,9,40,0,10,6.9,4178.36,1064825
1,34,5,8,7,44,0,5,13.9,1529.93,363861
2,34,5,8,7,44,0,9,4.9,1189.38,1916983
1,29,4,9,7,44,0,4,4.5,1093.26,84785
1,58,7,8,9,40,0,8,449.8,26934.62,1657912
2,65,8,99,9,20,0,10,485.3,9181.34,2027296
2,67,8,99,9,40,0,10,187.9,5257.25,2202119
2,30,5,99,9,20,0,9,57.9,5183.02,2005814
2,40,6,99,5,40,0,8,82.4,1198.23,181320
2,39,5,99,9,30,0,10,179.9,6580.57,969147
2,36,5,8,7,44,0,4,14.5,1411.37,790330
1,43,6,8,7,36,0,7,79.6,1415.96,1267068
2,33,5,99,9,30,0,9,19.6,7204.87,922488
1,33,5,4,7,44,0,4,41.9,1550.68,518117
1,47,6,8,5,44,0,5,91.3,1323.74,20412
1,21,3,8,7,24,0,7,10.8,602.96,1345522
2,44,6,99,7,40,0,10,273.4,5451.69,224005
1,53,7,99,5,25,0,8,342.9,1774.96,1212964
1,37,5,8,7,44,0,7,27.1,1328.76,95836
1,24,3,8,2,44,0,2,1.9,1916.32,1087743
1,70,8,8,7,0,0,9,47.4,1490.98,653523
1,52,7,99,9,40,0,10,323.5,5550.65,2345826
1,48,6,2,9,1,0,8,95.6,22201.6,168573
1,33,5,8,2,44,0,5,10.4,997.8,319302
2,37,5,8,9,44,0,7,34.5,5168.28,1971590
2,57,7,99,11,30,0,10,107.0,2460.6,982719
1,61,7,99,4,44,0,10,249.9,2020.57,1120011
2,26,4,99,7,30,0,10,85.5,3740.76,1788013
2,23,3,8,7,44,0,3,4.5,1025.98,1901942
1,38,5,99,9,20,0,9,199.4,3539.75,723787
1,62,7,99,9,40,0,10,271.8,27609.25,2346353
2,23,3,99,7,30,0,8,23.9,2531.58,782760
1,41,6,99,3,36,0,10,44.9,1396.87,1104814
1,24,3,8,8,44,0,2,34.9,1120.87,2324600
1,47,6,8,4,44,0,6,215.5,2113.78,1133031
2,56,7,99,9,20,0,10,322.9,3277.54,2074489
1,30,5,8,5,44,0,9,62.4,2646.79,470528
2,37,5,9,7,36,0,2,27.4,1078.79,1845796
1,33,5,8,4,44,0,2,0.6,1484.92,2221904
1,60,7,99,6,30,0,10,202.5,1742.92,478716
1,38,5,8,5,44,0,6,74.9,1895.32,1219202
2,37,5,8,9,44,0,7,138.9,4792.04,2188859
1,25,4,99,7,30,0,10,19.2,2579.68,1279391
1,18,3,9,7,44,0,6,14.4,1494.58,126221
2,44,6,8,9,44,0,3,17.9,1011.35,417105
1,39,5,8,5,40,0,7,54.9,3692.43,1211588
1,33,5,8,7,44,0,5,55.8,3143.72,115819
1,46,6,99,9,40,0,10,92.6,5539.84,2145787
1,43,6,9,7,44,0,5,10.9,3593.28,2269501
1,28,4,8,7,42,0,5,52.6,2295.15,1592798
2,28,4,99,9,30,0,10,7.9,7544.94,2194118
2,29,4,99,9,30,0,8,8.9,1833.21,1061867
2,38,5,8,9,44,0,7,122.9,6268.13,971458
1,32,5,4,7,44,0,5,19.0,3580.83,516558
2,46,6,99,9,20,0,10,172.9,2821.85,915475
1,38,5,8,9,44,0,8,4.4,13391.71,1647399
2,30,5,8,7,38,0,10,40.9,1250.58,781191
2,60,7,99,9,40,0,10,215.9,3076.05,1066643
1,38,5,8,9,40,0,4,117.5,22074.28,731424
1,41,6,9,7,44,0,4,71.9,1548.13,69579
2,44,6,8,7,44,0,3,61.9,1164.99,1828033
1,51,7,9,7,44,0,7,0.8,1004.89,2116576
1,56,7,1,9,13,0,7,167.9,3724.68,1672472
2,27,4,8,7,44,0,3,18.2,1320.01,1837287
1,38,5,99,7,30,0,10,59.9,1139.5,1294007
2,33,5,99,9,40,0,10,124.2,11767.38,2442237
1,45,6,99,3,32,0,9,154.9,2155.81,1105973
1,26,4,8,7,44,0,6,20.6,1094.04,586404
1,35,5,99,7,30,0,10,59.9,993.47,1300133
1,25,4,8,7,44,0,5,5.1,2513.2,1547600
2,31,5,8,7,44,0,5,19.1,1101.93,844959
1,31,5,2,9,44,0,7,129.8,6153.67,154050
2,33,5,8,7,44,0,10,19.3,1215.35,257869
1,44,6,9,9,44,0,8,19.3,2776.61,1681046
1,39,5,99,5,30,0,10,135.9,1410.32,1206102
1,23,3,8,7,1,0,4,2.3,326.15,1588248
1,46,6,8,7,44,0,5,19.9,1059.24,631593
2,46,6,99,9,20,0,7,239.9,1913.86,953205
1,23,3,9,7,44,0,7,0.8,954.7,2116364
1,23,3,8,3,44,0,5,5.5,1346.27,1109269
1,38,5,8,9,44,0,9,4.3,11441.64,730410
1,61,7,8,1,44,0,7,57.9,1261.09,1080641
1,29,4,99,7,40,0,8,31.7,3340.56,992362
1,31,5,9,7,44,0,4,7.9,1482.44,1466652
1,47,6,99,7,40,0,10,152.2,10619.56,2280070
1,34,5,8,6,44,0,5,13.8,1810.7,1239017
1,41,6,8,7,44,0,2,88.7,2337.0,1006539
2,37,5,8,6,44,0,3,24.8,1293.23,2161461
1,48,6,8,7,38,0,10,133.8,7000.06,1528069
2,54,7,99,5,40,0,10,417.9,4991.96,1034287
1,35,5,8,5,43,0,9,109.7,2266.94,468464
2,36,5,99,11,25,0,10,89.2,3735.53,1076269
1,57,7,99,9,40,0,10,319.8,9056.02,2146872
2,31,5,2,9,40,0,10,23.9,2761.85,1978322
1,41,6,99,9,40,0,10,164.9,7044.75,2331913
1,32,5,8,2,36,0,6,101.9,1313.78,1087683
1,50,7,8,7,40,0,6,21.1,1561.68,2277182
2,25,4,2,7,44,0,3,22.1,1014.25,1883558
1,34,5,8,7,22,0,4,25.9,1370.17,2246014
1,33,5,2,7,44,0,10,20.9,2078.7,137833
2,39,5,2,7,40,0,7,58.4,1139.9,1053972
2,43,6,99,6,40,0,7,269.9,1119.53,2360582
2,28,4,99,9,44,0,7,23.9,2511.91,1060944
2,44,6,9,7,40,0,9,1.9,2612.02,2399138
2,32,5,9,9,31,0,9,18.0,3590.28,975987
2,48,6,2,7,40,0,10,10.4,977.7,1768023
2,20,3,8,7,44,0,3,24.6,2378.2,1882144
1,41,6,8,3,44,0,10,100.9,1073.72,1105869
2,43,6,8,9,44,0,3,89.9,1975.58,2077266
2,32,5,9,9,17,0,6,9.9,910.39,416655
1,31,5,8,7,44,0,6,31.2,1125.6,1544937
1,33,5,8,7,44,0,10,83.8,2908.41,616606
2,45,6,2,9,44,0,9,2.9,3220.7,1971933
1,25,4,99,5,30,0,7,22.1,1069.27,2228372
1,55,7,9,5,40,0,10,10.9,1810.28,1211635
1,25,4,8,6,44,0,3,14.9,1742.47,1245830
1,57,7,8,6,44,0,6,81.9,1181.37,1229193
2,35,5,6,5,40,0,10,17.9,1152.46,1725419
2,50,7,99,9,40,0,10,139.4,6383.34,1062412
1,32,5,8,2,44,0,5,30.9,993.93,4241
2,31,5,2,7,44,0,5,106.9,1623.36,1937497
1,34,5,99,9,30,0,9,36.5,42265.36,701853
2,23,3,9,9,44,0,4,40.4,3585.8,2438043
1,43,6,8,7,44,0,7,67.5,3843.79,1554982
2,27,4,8,7,44,0,2,29.9,1181.0,1874066
1,29,4,8,7,44,0,6,15.9,1489.82,1449455
1,28,4,8,7,44,0,2,2.9,1240.16,1397179
1,56,7,8,5,44,0,2,5.9,2556.93,1216054
